"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"963448dc-df1d-3125-aa10-639748f56fb0","L.A. Confidential",1997,"https://www.rottentomatoes.com/m/la_confidential",1,"99%","94%"
"5aa3be92-ee5f-3302-93a1-aba38151e6bc","The Godfather",1972,"https://www.rottentomatoes.com/m/the_godfather",2,"97%","98%"
"744d4aea-e6ad-3c9a-9723-ee9b10505b98","Casablanca",1942,"https://www.rottentomatoes.com/m/1003707-casablanca",3,"99%","95%"
"e82e8623-76fa-3a2a-9fc3-1f5ce4fb4768","Seven Samurai",1954,"https://www.rottentomatoes.com/m/seven_samurai_1956",4,"100%","97%"
"a82538f5-e84b-32e8-9a49-2872b563d583","Parasite",2019,"https://www.rottentomatoes.com/m/parasite_2019",5,"99%","90%"
"dc41988b-1081-351f-b735-95ce61a8f5ad","Schindler's List",1993,"https://www.rottentomatoes.com/m/schindlers_list",6,"98%","97%"
"db97d08b-0855-3d42-890f-829fddbdb1fa","Top Gun: Maverick",2022,"https://www.rottentomatoes.com/m/top_gun_maverick",7,"96%","99%"
"6bacd7ec-76c9-3f40-b69a-cde708c3ac01","Toy Story 2",1999,"https://www.rottentomatoes.com/m/toy_story_2",8,"100%","87%"
"a64d86c4-8a6b-39f9-a750-23b12f06adbf","Chinatown",1974,"https://www.rottentomatoes.com/m/chinatown",9,"98%","93%"
"065fb5ae-802f-39c0-bd91-8e8757e53f1f","On the Waterfront",1954,"https://www.rottentomatoes.com/m/on_the_waterfront",10,"99%","95%"
"ae237566-9a4e-3ddd-8d11-8b17902f0660","The Battle of Algiers",1966,"https://www.rottentomatoes.com/m/the_battle_of_algiers",11,"99%","95%"
"48f742e7-d657-38bc-ad26-ff9e52e79073","Toy Story",1995,"https://www.rottentomatoes.com/m/toy_story",12,"100%","92%"
"3f6ec438-dabc-3e8a-b27a-cc859c66d065","Rear Window",1954,"https://www.rottentomatoes.com/m/1017289-rear_window",13,"98%","95%"
"9499525e-338d-3fd9-bb20-503b61f9a446","Modern Times",1936,"https://www.rottentomatoes.com/m/modern_times",14,"98%","95%"
"cce9361c-4dba-3321-9d0a-60a8623c465c","How to Train Your Dragon",2010,"https://www.rottentomatoes.com/m/how_to_train_your_dragon",15,"99%","91%"
"2becdd54-961d-384e-90c6-3ce9852d658f","All About Eve",1950,"https://www.rottentomatoes.com/m/1000626-all_about_eve",16,"99%","94%"
"088f0a18-b2cb-3257-ac4c-367ef2c49e97","Spirited Away",2001,"https://www.rottentomatoes.com/m/spirited_away",17,"96%","96%"
"2d49ba33-54d4-337c-9f27-f05a9349ed12","Up",2009,"https://www.rottentomatoes.com/m/up",18,"98%","90%"
"f72a78f3-fd5f-37a7-8578-b76cf0d71b59","The Third Man",1949,"https://www.rottentomatoes.com/m/the_third_man",19,"99%","93%"
"b8611440-e6ac-37f2-b68e-7f4a001fee09","Spotlight",2015,"https://www.rottentomatoes.com/m/spotlight_2015",20,"97%","93%"
"4517f650-c60a-4edc-b37e-9236213c2b93","Spider-Man: Into the Spider-Verse",2018,"https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse",21,"97%","94%"
"a5a28373-c2f8-3e44-86f7-029f84fc100d","The Philadelphia Story",1940,"https://www.rottentomatoes.com/m/philadelphia_story",22,"100%","93%"
"f3b83be1-931e-3f5e-91ab-9c1148d6c0e6","Finding Nemo",2003,"https://www.rottentomatoes.com/m/finding_nemo",23,"99%","86%"
"6da4d992-97ca-3acc-834c-37c1ad34872c","Singin' in the Rain",1952,"https://www.rottentomatoes.com/m/singin_in_the_rain",24,"100%","95%"
"7b7f4c61-df44-3341-92a8-05e2a5392c83","12 Angry Men",1957,"https://www.rottentomatoes.com/m/1000013_12_angry_men",25,"100%","97%"
"9ca85aae-f704-379e-a1ea-26990e4ddf83","Toy Story 3",2010,"https://www.rottentomatoes.com/m/toy_story_3",26,"98%","90%"
"658a2496-f83a-392a-b370-9abfa8a0cc9e","Sunset Boulevard",1950,"https://www.rottentomatoes.com/m/sunset_boulevard",27,"98%","94%"
"e409e2f7-0f17-333f-bb91-04fb5f69cbd0","Coco",2017,"https://www.rottentomatoes.com/m/coco_2017",28,"97%","94%"
"a0f4eb8f-d33c-38f7-84cf-d3bfc2ffc714","The Godfather, Part II",1974,"https://www.rottentomatoes.com/m/godfather_part_ii",29,"96%","97%"
"43fd2e63-e6b4-311d-9de8-f712045641aa","Three Colors: Red",1994,"https://www.rottentomatoes.com/m/three_colors_red",30,"100%","94%"
"c73656b8-5e8a-3848-8df1-6aa864b48872","Selma",2014,"https://www.rottentomatoes.com/m/selma",31,"99%","86%"
"aec21e9b-16de-3ab4-83ce-5e36094ee689","Zootopia",2016,"https://www.rottentomatoes.com/m/zootopia",32,"98%","92%"
"18af2553-dc8f-3607-a605-92e907068433","Citizen Kane",1941,"https://www.rottentomatoes.com/m/citizen_kane",33,"99%","90%"
"09291ad9-40e1-3e17-af71-e1dcafb81921","Annie Hall",1977,"https://www.rottentomatoes.com/m/annie_hall",34,"97%","92%"
"985e183e-108c-3b26-8b9e-0f89f086013b","Cool Hand Luke",1967,"https://www.rottentomatoes.com/m/cool_hand_luke",35,"100%","95%"
"65021aba-fbbf-3c55-b038-4d324afb1a96","The Holdovers",2023,"https://www.rottentomatoes.com/m/the_holdovers",36,"97%","92%"
"d7243dcc-df4e-3a21-9ebc-4af39d28c02a","Inside Out",2015,"https://www.rottentomatoes.com/m/inside_out_2015",37,"98%","89%"
"459b82e0-0535-3c5a-a84c-f7a5920d0028","Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb",1964,"https://www.rottentomatoes.com/m/dr_strangelove",38,"98%","94%"
"10e1ff86-81ad-37d3-acdb-b9ede501fa1a","Let the Right One In",2008,"https://www.rottentomatoes.com/m/let_the_right_one_in",39,"98%","90%"
"35e97dbc-aef3-3121-b204-f814ca098b70","The Lord of the Rings: The Two Towers",2002,"https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers",40,"95%","95%"
